epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,1.1699528420964878,0.04245021229144186,0.021749677708915744,1.034971747547388,0.04361740751968076,0.02235664821152265
2,0.9326986949890852,0.0616077541684111,0.031916325989489756,0.8858440741896629,0.05997355480212718,0.03103715864320596
3,0.8228442637870709,0.07853868786090364,0.041119265486486256,0.8118398661414782,0.07625426918578644,0.03985743624313424
4,0.7947962315132221,0.09937620636386175,0.05265332919467861,0.7793117836117744,0.09311021080551048,0.049141828319989145
5,0.7731100227683783,0.12132222744791459,0.06516524846665561,0.763486514488856,0.1167739739951988,0.062496839285207294
6,0.7535801796863476,0.14975893287919462,0.08199668636855979,0.7488345553477606,0.14542132150381804,0.07923151560438176
7,0.7482292496909698,0.17940152591715255,0.09989074540014069,0.7561625527838866,0.1753330777088801,0.09720028455679615
8,0.7336991112679243,0.2031968985684216,0.11514243215788156,0.7414574213325977,0.1809371217774848,0.10072189965285361
9,0.7348312592754761,0.23706680598358312,0.13692967283229032,0.7292020730674267,0.1957212684986492,0.1101903395416836
10,0.7299471441656351,0.2521769676047067,0.14689696479278305,0.7271108018855253,0.23125339221830168,0.13339857392323515
11,0.7179832613716522,0.293255179344366,0.17569149564951658,0.7178418226540089,0.2631733013937871,0.15513059993584952
12,0.7102106598516306,0.3190759310188393,0.1949199716715763,0.7093920322755972,0.283527619826297,0.1688281303892533
13,0.7052682818224033,0.351276447220395,0.21834304253570735,0.7042604299883047,0.2980705080553889,0.1795207061804831
14,0.696615356951952,0.3674406019660334,0.231411419964085,0.7001286645730337,0.31373222824186087,0.19127058315401277
15,0.6908386728415886,0.3811575942672789,0.24199744577830037,0.6915815522273382,0.35224492102861404,0.21920353701959053
16,0.6867451487729946,0.4077859583000342,0.263385279259334,0.6940225151677927,0.36036228357503813,0.22508108289912343
17,0.6825706331680218,0.4183766987795631,0.27209831262007356,0.6850729261835417,0.36409039484957856,0.22827700370301804
18,0.6764580557743708,0.4447086350992322,0.29401405062526464,0.6813494215408961,0.38205807749181986,0.24363377783447504
19,0.6704166767497858,0.455823731298248,0.3033708608709276,0.6757321084539095,0.3894622440760334,0.2487907170628508
20,0.6693115855256716,0.44841552153229713,0.29764126846566796,0.6676996101935705,0.41792309905091923,0.27150802096972865
